Year,Month,iod
1974,7,-0.157
1974,8,-0.094
1974,9,0.016
1974,10,0.006
1974,11,-0.398
1974,12,-0.293
1975,1,-0.383
1975,2,-0.486
1975,3,-0.515
1975,4,-0.735
1975,5,-0.542
1975,6,-0.458
1975,7,-0.146
1975,8,-0.146
1975,9,0.229
1975,10,-0.082
1975,11,-0.62
1975,12,-0.832
1976,1,-0.89
1976,2,-0.731
1976,3,-0.779
1976,4,-0.811
1976,5,-0.668
1976,6,-0.766
1976,7,-0.96
1976,8,-0.658
1976,9,-0.443
1976,10,-0.458
1976,11,-0.473
1976,12,-0.598
1977,1,-0.463
1977,2,-0.47
1977,3,-0.729
1977,4,-0.348
1977,5,-0.139
1977,6,-0.148
1977,7,-0.285
1977,8,-0.252
1977,9,-0.245
1977,10,-0.498
1977,11,-0.062
1977,12,-0.127
1978,1,0.317
1978,2,0.201
1978,3,0.206
1978,4,-0.33
1978,5,-0.385
1978,6,-0.646
1978,7,-0.43
1978,8,-0.305
1978,9,-0.366
1978,10,-0.193
1978,11,-0.144
1978,12,-0.325
1979,1,-0.364
1979,2,0.053
1979,3,-0.167
1979,4,-0.18
1979,5,0.051
1979,6,-0.344
1979,7,-0.236
1979,8,-0.464
1979,9,-0.236
1979,10,-0.207
1979,11,-0.256
1979,12,-0.286
1980,1,-0.274
1980,2,-0.227
1980,3,-0.179
1980,4,-0.309
1980,5,-0.105
1980,6,-0.241
1980,7,0.173
1980,8,0.335
1980,9,0.323
1980,10,0.293
1980,11,0.087
1980,12,0.109
1981,1,-0.227
1981,2,-0.304
1981,3,-0.153
1981,4,-0.476
1981,5,-0.427
1981,6,-0.367
1981,7,0.036
1981,8,0.029
1981,9,0.139
1981,10,0.106
1981,11,-0.278
1981,12,-0.351
1982,1,-0.541
1982,2,-0.573
1982,3,-0.416
1982,4,-0.45
1982,5,-0.472
1982,6,-0.596
1982,7,-0.528
1982,8,-0.534
1982,9,-0.566
1982,10,-0.63
1982,11,-0.384
1982,12,0.126
1983,1,0.464
1983,2,0.678
1983,3,0.791
1983,4,0.715
1983,5,0.236
1983,6,0.148
1983,7,0.001
1983,8,-0.053
1983,9,0.074
1983,10,0.023
1983,11,0.222
1983,12,-0.114
1984,1,-0.294
1984,2,-0.597
1984,3,-0.452
1984,4,-0.502
1984,5,-0.458
1984,6,-0.406
1984,7,-0.238
1984,8,-0.135
1984,9,0.038
1984,10,-0.017
1984,11,-0.142
1984,12,-0.271
1985,1,-0.072
1985,2,-0.012
1985,3,-0.112
1985,4,-0.193
1985,5,-0.356
1985,6,-0.292
1985,7,-0.136
1985,8,-0.147
1985,9,-0.212
1985,10,-0.061
1985,11,-0.472
1985,12,0.057
1986,1,-0.364
1986,2,-0.197
1986,3,-0.274
1986,4,-0.178
1986,5,-0.096
1986,6,-0.016
1986,7,0.152
1986,8,-0.024
1986,9,-0.127
1986,10,-0.179
1986,11,0.118
1986,12,0.136
1987,1,-0.011
1987,2,-0.078
1987,3,0.172
1987,4,0.142
1987,5,0.166
1987,6,-0.02
1987,7,-0.009
1987,8,0.002
1987,9,-0.061
1987,10,-0.055
1987,11,0.193
1987,12,-0.013
1988,1,0.025
1988,2,0.462
1988,3,0.512
1988,4,0.163
1988,5,0.231
1988,6,0.053
1988,7,0.099
1988,8,0.285
1988,9,0.277
1988,10,0.3
1988,11,-0.068
1988,12,-0.272
1989,1,-0.172
1989,2,-0.342
1989,3,-0.25
1989,4,-0.177
1989,5,-0.002
1989,6,0.1
1989,7,0.101
1989,8,0.019
1989,9,0.078
1989,10,0.202
1989,11,0.217
1989,12,0.008
1990,1,0.009
1990,2,0.49
1990,3,0.148
1990,4,0.217
1990,5,0.108
1990,6,0.078
1990,7,0.115
1990,8,0.241
1990,9,-0.02
1990,10,0.154
1990,11,-0.025
1990,12,0.111
1991,1,0.024
1991,2,0.044
1991,3,0.018
1991,4,-0.114
1991,5,-0.171
1991,6,-0.14
1991,7,-0.266
1991,8,-0.353
1991,9,-0.223
1991,10,-0.161
1991,11,-0.263
1991,12,-0.207
1992,1,0.165
1992,2,0.21
1992,3,0.345
1992,4,0.246
1992,5,0.371
1992,6,0.666
1992,7,0.47
1992,8,0.419
1992,9,0.435
1992,10,0.158
1992,11,0.05
1992,12,0.029
1993,1,0.019
1993,2,-0.16
1993,3,-0.074
1993,4,-0.133
1993,5,-0.057
1993,6,-0.034
1993,7,-0.052
1993,8,0.045
1993,9,-0.075
1993,10,-0.224
1993,11,-0.027
1993,12,-0.072
1994,1,-0.135
1994,2,-0.144
1994,3,-0.512
1994,4,-0.546
1994,5,-0.618
1994,6,-0.766
1994,7,-0.798
1994,8,-1.033
1994,9,-0.923
1994,10,-0.729
1994,11,-0.425
1994,12,-0.327
1995,1,-0.261
1995,2,-0.138
1995,3,-0.136
1995,4,0.053
1995,5,0.169
1995,6,0.029
1995,7,0.209
1995,8,0.069
1995,9,0.012
1995,10,0.188
1995,11,0.141
1995,12,-0.211
1996,1,-0.03
1996,2,-0.009
1996,3,-0.07
1996,4,0.068
1996,5,-0.146
1996,6,0
1996,7,0.252
1996,8,0.187
1996,9,0.173
1996,10,0.376
1996,11,0.247
1996,12,-0.03
1997,1,-0.328
1997,2,-0.554
1997,3,-0.232
1997,4,-0.208
1997,5,-0.249
1997,6,-0.177
1997,7,-0.482
1997,8,-0.547
1997,9,-0.588
1997,10,-0.664
1997,11,-0.868
1997,12,-0.405
1998,1,0.136
1998,2,0.385
1998,3,0.689
1998,4,0.511
1998,5,0.399
1998,6,0.386
1998,7,0.649
1998,8,0.742
1998,9,0.528
1998,10,0.621
1998,11,0.402
1998,12,0.084
1999,1,-0.119
1999,2,-0.211
1999,3,-0.169
1999,4,-0.205
1999,5,-0.25
1999,6,-0.133
1999,7,-0.231
1999,8,-0.208
1999,9,-0.07
1999,10,-0.183
1999,11,-0.125
1999,12,-0.14
2000,1,-0.179
2000,2,-0.355
2000,3,-0.388
2000,4,-0.365
2000,5,-0.368
2000,6,-0.444
2000,7,-0.377
2000,8,-0.247
2000,9,-0.002
2000,10,0.005
2000,11,0.118
2000,12,-0.056
2001,1,-0.055
2001,2,-0.302
2001,3,-0.089
2001,4,-0.216
2001,5,-0.11
2001,6,-0.047
2001,7,0.027
2001,8,0.102
2001,9,0.121
2001,10,0.175
2001,11,0.181
2001,12,0.163
2002,1,0.259
2002,2,-0.033
2002,3,0.133
2002,4,0.298
2002,5,0.052
2002,6,0.025
2002,7,0.156
2002,8,0.075
2002,9,0.007
2002,10,-0.186
2002,11,-0.083
2002,12,0.305
2003,1,0.205
2003,2,0.225
2003,3,0.187
2003,4,0.19
2003,5,0.106
2003,6,0.018
2003,7,-0.041
2003,8,-0.086
2003,9,0.116
2003,10,0.179
2003,11,0.049
2003,12,-0.214
2004,1,0.08
2004,2,-0.101
2004,3,-0.179
2004,4,-0.007
2004,5,0.056
2004,6,-0.106
2004,7,-0.105
2004,8,-0.005
2004,9,0.022
2004,10,-0.089
2004,11,0.104
2004,12,0.166
2005,1,0.117
2005,2,0.513
2005,3,0.473
2005,4,0.033
2005,5,0.113
2005,6,0.167
2005,7,0.308
2005,8,0.25
2005,9,0.431
2005,10,0.267
2005,11,0.019
2005,12,-0.106
2006,1,-0.272
2006,2,0.049
2006,3,-0.016
2006,4,-0.14
2006,5,0.097
2006,6,-0.064
2006,7,-0.107
2006,8,-0.167
2006,9,-0.422
2006,10,-0.537
2006,11,-0.246
2006,12,0.079
2007,1,0.026
2007,2,0.127
2007,3,-0.047
2007,4,-0.055
2007,5,-0.093
2007,6,0.181
2007,7,-0.062
2007,8,-0.115
2007,9,-0.194
2007,10,-0.209
2007,11,-0.201
2007,12,-0.028
2008,1,-0.168
2008,2,-0.291
2008,3,-0.578
2008,4,-0.344
2008,5,-0.513
2008,6,-0.424
2008,7,-0.412
2008,8,-0.188
2008,9,0.058
2008,10,0.007
2008,11,0.012
2008,12,-0.105
2009,1,-0.124
2009,2,-0.205
2009,3,-0.066
2009,4,-0.18
2009,5,-0.187
2009,6,0.125
2009,7,0.376
2009,8,0.361
2009,9,0.226
2009,10,0.306
2009,11,0.196
2009,12,0.208
2010,1,0.09
2010,2,0.475
2010,3,0.14
2010,4,0.224
2010,5,0.314
2010,6,0.319
2010,7,0.249
2010,8,0.232
2010,9,0.14
2010,10,0.358
2010,11,0.241
2010,12,-0.042
2011,1,-0.434
2011,2,-0.39
2011,3,-0.49
2011,4,-0.467
2011,5,-0.184
2011,6,-0.139
2011,7,-0.272
2011,8,-0.223
2011,9,-0.188
2011,10,-0.187
2011,11,-0.151
2011,12,0.101
2012,1,-0.159
2012,2,-0.151
2012,3,-0.28
2012,4,0.026
2012,5,0.288
2012,6,-0.067
2012,7,-0.421
2012,8,-0.358
2012,9,-0.077
2012,10,0.116
2012,11,0.122
2012,12,-0.055
2013,1,0.119
2013,2,0.044
2013,3,0.043
2013,4,0.155
2013,5,0.218
2013,6,0.227
2013,7,0.057
2013,8,0.075
2013,9,0.127
2013,10,0.155
2013,11,0.026
2013,12,-0.152
2014,1,0.024
2014,2,0.001
2014,3,0.052
2014,4,0.079
2014,5,0.255
2014,6,0.16
2014,7,0.393
2014,8,0.297
2014,9,0.14
2014,10,0.011
2014,11,0.261
2014,12,0.129
2015,1,0.017
2015,2,0.192
2015,3,0.225
2015,4,0.137
2015,5,0.207
2015,6,0.134
2015,7,0.293
2015,8,0.022
2015,9,0.301
2015,10,0.105
2015,11,0.253
2015,12,0.496
2016,1,0.531
2016,2,0.559
2016,3,0.852
2016,4,0.56
2016,5,0.542
2016,6,0.548
2016,7,0.62
2016,8,0.598
2016,9,0.5
2016,10,0.364
2016,11,0.381
2016,12,0.427
2017,1,0.13
2017,2,-0.043
2017,3,-0.328
2017,4,-0.377
2017,5,-0.233
2017,6,-0.226
2017,7,-0.094
2017,8,0.081
2017,9,0.142
2017,10,0.238
2017,11,-0.194
2017,12,-0.289
2018,1,-0.189
2018,2,-0.148
2018,3,0.099
2018,4,0.135
2018,5,-0.072
2018,6,-0.181
2018,7,-0.198
2018,8,-0.134
2018,9,-0.276
2018,10,-0.296
2018,11,-0.133
2018,12,0.012
2019,1,0.006
2019,2,-0.112
2019,3,0.029
2019,4,0.119
2019,5,-0.068
2019,6,-0.098
2019,7,-0.264
2019,8,-0.184
2019,9,-0.636
2019,10,-0.245
2019,11,-0.168
2019,12,0.236
2020,1,0.502
2020,2,0.521
2020,3,0.368
2020,4,0.522
2020,5,0.136
2020,6,0.059
2020,7,0.123
2020,8,0.289
2020,9,0.194
2020,10,0.081
2020,11,0.083
2020,12,0.005
2021,1,-0.128
2021,2,-0.182
2021,3,-0.135
2021,4,-0.215
2021,5,0.026
2021,6,-0.011
2021,7,0.32
2021,8,0.145
2021,9,0.136
2021,10,0.022
2021,11,-0.034
2021,12,0.244
2022,1,0.296
2022,2,0.119
2022,3,0.131
2022,4,0.225
2022,5,0.065
2022,6,0.245
2022,7,-0.036
2022,8,0.171
2022,9,0.227
2022,10,0.342
2022,11,0.134
2022,12,0.091
